CaseAcc,Animal,DateCollected,Age,Sex,waypoint,Measurement,MeasureValue,MeasurementUnit
25518-33,Snapper: Bluestriped,11/7/17,Unknown,Unknown,Barbers Point FR1B,Total length,18.7,cm
25518-33,Snapper: Bluestriped,11/7/17,Unknown,Unknown,Barbers Point FR1B,Fork length,18.3,cm
25518-33,Snapper: Bluestriped,11/7/17,Unknown,Unknown,Barbers Point FR1B,Weight liver,0.415,g
25518-34,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight carcass,106.7,g
25518-34,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Total length,20,cm
25518-34,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Fork length,19,cm
25518-34,Snapper: Bluestriped,11/7/17,Unknown,Male,Barbers Point FR1B,Weight liver,0.481,g
25613-27,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Fork length,20,cm
25613-27,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Total length,21.4,cm
25613-27,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight carcass,139,g
25613-27,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight liver,1.099,g
25613-28,Snapper: Bluestriped,11/7/18,Adult,Female,Barbers Point FR1B,Fork length,21.8,cm
25613-28,Snapper: Bluestriped,11/7/18,Adult,Female,Barbers Point FR1B,Total length,22.1,cm
25613-28,Snapper: Bluestriped,11/7/18,Adult,Female,Barbers Point FR1B,Weight carcass,174,g
25613-28,Snapper: Bluestriped,11/7/18,Adult,Female,Barbers Point FR1B,Weight liver,1.346,g
25613-30,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Fork length,16.6,cm
25613-30,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Total length,17,cm
25613-30,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight carcass,76,g
25613-30,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight liver,0.9,g
25613-26,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Fork length,23.5,cm
25613-26,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Total length,24.2,cm
25613-26,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight carcass,232,g
25613-26,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight liver,1.881,g
25613-29,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Fork length,18.1,cm
25613-29,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Total length,19,cm
25613-29,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight carcass,97,g
25613-29,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Weight liver,0.692,g
25613-25,Snapper: Bluestriped,11/7/18,Adult,Male,Barbers Point FR1B,Fork length,18.3,cm
